Age;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999
94;3.988;4.396;4.652;4.794;5.02;5.178;5.42;5.902;6.424;6.723;6.932;7.255;7.472;7.899;8.686
95;4.004;4.413;4.669;4.811;5.038;5.197;5.44;5.922;6.446;6.746;6.956;7.279;7.497;7.925;8.715
96;4.019;4.429;4.687;4.829;5.056;5.215;5.459;5.943;6.468;6.768;6.979;7.303;7.522;7.951;8.744
97;4.034;4.445;4.703;4.846;5.074;5.233;5.478;5.963;6.49;6.791;7.002;7.328;7.547;7.978;8.773
98;4.049;4.461;4.72;4.863;5.092;5.251;5.496;5.983;6.511;6.813;7.025;7.352;7.571;8.004;8.801
99;4.064;4.477;4.737;4.88;5.109;5.27;5.515;6.003;6.533;6.836;7.048;7.375;7.596;8.029;8.83
100;4.079;4.493;4.754;4.897;5.127;5.287;5.534;6.023;6.554;6.858;7.071;7.399;7.62;8.055;8.858
101;4.094;4.509;4.77;4.914;5.144;5.305;5.552;6.043;6.575;6.88;7.094;7.423;7.644;8.08;8.885
102;4.109;4.525;4.786;4.931;5.161;5.323;5.57;6.062;6.596;6.901;7.116;7.446;7.668;8.106;8.913
103;4.123;4.541;4.803;4.947;5.179;5.34;5.589;6.082;6.617;6.923;7.138;7.469;7.692;8.131;8.941
104;4.138;4.556;4.819;4.964;5.196;5.358;5.607;6.101;6.638;6.945;7.16;7.492;7.716;8.156;8.968
105;4.152;4.571;4.835;4.98;5.213;5.375;5.625;6.12;6.658;6.966;7.182;7.515;7.739;8.181;8.995
106;4.167;4.587;4.851;4.996;5.229;5.393;5.643;6.139;6.679;6.987;7.204;7.538;7.763;8.205;9.022
107;4.181;4.602;4.867;5.013;5.246;5.41;5.66;6.158;6.699;7.009;7.226;7.561;7.786;8.23;9.049
108;4.195;4.617;4.882;5.029;5.263;5.427;5.678;6.177;6.72;7.03;7.248;7.583;7.809;8.254;9.076
109;4.209;4.632;4.898;5.045;5.279;5.444;5.695;6.196;6.74;7.051;7.269;7.605;7.832;8.278;9.102
110;4.223;4.647;4.913;5.061;5.296;5.46;5.713;6.214;6.759;7.071;7.29;7.627;7.855;8.302;9.129
111;4.237;4.662;4.929;5.076;5.312;5.477;5.73;6.233;6.779;7.092;7.312;7.65;7.878;8.326;9.155
112;4.251;4.677;4.944;5.092;5.328;5.493;5.747;6.251;6.799;7.112;7.332;7.671;7.9;8.35;9.181
113;4.264;4.691;4.959;5.107;5.344;5.51;5.764;6.269;6.818;7.133;7.353;7.693;7.922;8.373;9.207
114;4.278;4.706;4.974;5.123;5.36;5.526;5.781;6.287;6.838;7.153;7.374;7.715;7.945;8.397;9.233
115;4.291;4.72;4.989;5.138;5.376;5.542;5.798;6.305;6.857;7.173;7.395;7.737;7.967;8.42;9.259
116;4.305;4.734;5.004;5.153;5.392;5.558;5.814;6.323;6.876;7.193;7.415;7.758;7.989;8.443;9.284
117;4.318;4.749;5.019;5.168;5.407;5.575;5.831;6.341;6.895;7.213;7.436;7.779;8.011;8.466;9.309
118;4.331;4.763;5.034;5.183;5.423;5.59;5.848;6.359;6.914;7.232;7.456;7.8;8.032;8.489;9.334
119;4.345;4.777;5.048;5.198;5.438;5.606;5.864;6.376;6.933;7.252;7.476;7.821;8.054;8.512;9.359
120;4.358;4.791;5.063;5.213;5.453;5.622;5.88;6.394;6.952;7.271;7.496;7.842;8.075;8.535;9.384
121;4.371;4.804;5.077;5.228;5.469;5.637;5.896;6.411;6.97;7.291;7.516;7.863;8.096;8.557;9.409
122;4.383;4.818;5.091;5.242;5.484;5.653;5.912;6.428;6.989;7.31;7.536;7.883;8.118;8.579;9.434
123;4.396;4.832;5.106;5.257;5.499;5.668;5.928;6.445;7.007;7.329;7.555;7.904;8.139;8.601;9.458
